ts,time,pkg,core16,core20,gpu_temp,gpu_power,gpu_util,train_tag
1788336691,16:11:31,80.0,61.0,63.0,57,99.60,38,ep? s3250
1788336696,16:11:36,64.0,59.0,59.0,58,113.82,35,ep? s3250
1788336701,16:11:41,65.0,60.0,65.0,57,104.55,31,ep? s3250
1788336706,16:11:46,66.0,60.0,61.0,59,97.86,32,ep? s3250
1788336711,16:11:51,67.0,60.0,62.0,57,94.06,40,ep? s3250
1788336716,16:11:56,70.0,60.0,62.0,57,97.53,36,ep? s3250
1788336721,16:12:01,65.0,60.0,62.0,58,99.71,35,ep? s3250
1788336726,16:12:06,65.0,61.0,62.0,57,95.56,35,ep? s3250
1788336731,16:12:11,67.0,58.0,61.0,57,94.90,37,ep? s3250
1788336736,16:12:16,69.0,59.0,69.0,57,94.60,37,ep? s3250
1788336741,16:12:21,65.0,59.0,61.0,57,97.36,38,ep? s3300
1788336746,16:12:26,65.0,60.0,62.0,57,96.28,34,ep? s3300
1788336752,16:12:32,66.0,61.0,66.0,57,95.61,23,ep? s3300
1788336757,16:12:37,75.0,61.0,65.0,57,96.51,35,ep? s3300
1788336762,16:12:42,68.0,58.0,65.0,57,91.68,36,ep? s3300
1788336767,16:12:47,85.0,60.0,69.0,57,95.85,30,ep? s3300
1788336772,16:12:52,70.0,55.0,59.0,57,96.04,35,ep? s3300
1788336777,16:12:57,64.0,59.0,61.0,57,96.00,29,ep? s3300
1788336782,16:13:02,67.0,58.0,67.0,58,93.42,30,ep? s3300
1788336787,16:13:07,67.0,58.0,67.0,57,93.64,30,ep? s3300
1788336792,16:13:12,62.0,56.0,61.0,57,93.32,31,ep? s3350
1788336797,16:13:17,61.0,60.0,59.0,57,93.48,31,ep? s3350
1788336802,16:13:22,62.0,59.0,59.0,57,93.38,30,ep? s3350
1788336807,16:13:27,62.0,59.0,61.0,57,93.70,30,ep? s3350
1788336812,16:13:32,64.0,59.0,61.0,57,93.45,30,ep? s3350
1788336817,16:13:37,62.0,58.0,59.0,57,93.00,33,ep? s3350
1788336822,16:13:42,62.0,58.0,59.0,57,93.50,30,ep? s3350
1788336827,16:13:47,62.0,55.0,58.0,57,93.28,34,ep? s3350
1788336832,16:13:52,62.0,61.0,59.0,57,94.12,30,ep? s3350
1788336837,16:13:57,62.0,56.0,59.0,57,94.56,25,ep? s3350
1788336843,16:14:03,64.0,56.0,59.0,57,93.63,30,ep? s3400
1788336848,16:14:08,65.0,56.0,59.0,57,92.52,25,ep? s3400
1788336853,16:14:13,71.0,56.0,58.0,57,93.50,33,ep? s3400
1788336858,16:14:18,65.0,59.0,57.0,57,92.81,25,ep? s3400
1788336863,16:14:23,72.0,60.0,59.0,57,93.93,39,ep? s3400
1788336868,16:14:28,65.0,58.0,58.0,56,92.80,34,ep? s3400
1788336873,16:14:33,70.0,55.0,65.0,57,96.63,29,ep? s3400
1788336878,16:14:38,62.0,58.0,59.0,57,96.57,35,ep? s3400
1788336883,16:14:43,62.0,56.0,59.0,57,94.04,29,ep? s3400
1788336888,16:14:48,73.0,61.0,61.0,57,93.49,30,ep? s3400
1788336893,16:14:53,64.0,59.0,61.0,57,93.50,31,ep? s3400
1788336898,16:14:58,64.0,60.0,61.0,57,93.27,30,ep? s3450
1788336903,16:15:03,61.0,56.0,58.0,57,93.69,30,ep? s3450
1788336908,16:15:08,62.0,56.0,58.0,57,94.28,30,ep? s3450
1788336913,16:15:13,65.0,57.0,65.0,57,93.66,30,ep? s3450
1788336918,16:15:18,62.0,56.0,59.0,57,94.21,30,ep? s3450
1788336923,16:15:23,61.0,59.0,59.0,57,94.31,31,ep? s3450
1788336929,16:15:29,63.0,57.0,63.0,57,93.84,30,ep? s3450
1788336934,16:15:34,64.0,58.0,63.0,57,93.91,30,ep? s3450
1788336939,16:15:39,64.0,55.0,59.0,57,93.89,28,ep? s3450
1788336944,16:15:44,63.0,56.0,58.0,57,93.10,32,ep? s3450
1788336949,16:15:49,60.0,57.0,59.0,57,88.32,28,ep? s3500
1788336954,16:15:54,67.0,59.0,61.0,57,93.14,29,ep? s3500
1788336959,16:15:59,69.0,60.0,67.0,57,93.10,34,ep? s3500
1788336964,16:16:04,69.0,55.0,58.0,57,92.53,32,ep? s3500
1788336969,16:16:09,69.0,56.0,61.0,57,93.50,33,ep? s3500
1788336974,16:16:14,70.0,56.0,59.0,57,93.14,34,ep? s3500
1788336979,16:16:19,65.0,55.0,59.0,57,96.22,29,ep? s3500
1788336984,16:16:24,69.0,57.0,59.0,57,95.90,34,ep? s3500
1788336989,16:16:29,63.0,56.0,59.0,57,93.55,30,ep? s3500
1788336995,16:16:35,74.0,65.0,57.0,57,93.82,31,ep? s3500
1788337000,16:16:40,64.0,56.0,59.0,57,93.25,27,ep? s3550
1788337005,16:16:45,72.0,72.0,61.0,57,95.19,25,ep? s3550
1788337010,16:16:50,80.0,62.0,80.0,57,94.90,27,ep? s3550
1788337015,16:16:55,64.0,60.0,61.0,58,92.99,25,ep? s3550
1788337020,16:17:00,74.0,56.0,58.0,57,92.40,34,ep? s3550
1788337025,16:17:05,71.0,61.0,57.0,57,93.04,36,ep? s3550
1788337030,16:17:10,70.0,54.0,57.0,57,92.38,34,ep? s3550
1788337035,16:17:15,72.0,61.0,72.0,57,95.79,35,ep? s3550
1788337040,16:17:20,62.0,61.0,61.0,57,92.67,30,ep? s3550
1788337045,16:17:25,69.0,57.0,63.0,57,93.98,31,ep? s3550
1788337050,16:17:30,64.0,59.0,58.0,57,93.59,29,ep? s3600
1788337055,16:17:35,76.0,56.0,59.0,57,93.74,31,ep? s3600
1788337060,16:17:40,63.0,54.0,57.0,57,94.01,30,ep? s3600
1788337065,16:17:45,72.0,54.0,57.0,57,93.94,31,ep? s3600
1788337070,16:17:50,63.0,56.0,57.0,57,94.06,30,ep? s3600
1788337076,16:17:56,75.0,61.0,58.0,57,94.18,31,ep? s3600
1788337081,16:18:01,64.0,60.0,61.0,57,94.59,30,ep? s3600
1788337086,16:18:06,73.0,59.0,58.0,57,94.30,30,ep? s3600
1788337091,16:18:11,64.0,60.0,57.0,57,94.00,30,ep? s3600
1788337096,16:18:16,76.0,61.0,59.0,57,92.77,23,ep? s3600
1788337101,16:18:21,64.0,58.0,57.0,57,93.29,27,ep? s3650
1788337106,16:18:26,75.0,56.0,65.0,57,92.11,29,ep? s3650
1788337111,16:18:31,72.0,61.0,72.0,57,95.03,27,ep? s3650
1788337116,16:18:36,69.0,69.0,62.0,57,95.49,25,ep? s3650
1788337121,16:18:41,66.0,56.0,57.0,58,92.88,34,ep? s3650
1788337126,16:18:46,82.0,58.0,67.0,57,92.66,35,ep? s3650
1788337131,16:18:51,66.0,54.0,59.0,57,92.89,34,ep? s3650
1788337136,16:18:56,69.0,61.0,63.0,57,93.21,35,ep? s3650
1788337141,16:19:01,81.0,59.0,65.0,57,96.52,30,ep? s3650
1788337146,16:19:06,84.0,57.0,84.0,57,96.57,35,ep? s3650
1788337151,16:19:11,62.0,56.0,58.0,59,93.81,30,ep? s3700
1788337156,16:19:16,70.0,57.0,58.0,57,93.68,30,ep? s3700
1788337161,16:19:21,62.0,56.0,59.0,57,93.55,30,ep? s3700
1788337166,16:19:26,63.0,61.0,59.0,57,93.69,31,ep? s3700
1788337172,16:19:32,64.0,59.0,59.0,57,93.97,30,ep? s3700
1788337177,16:19:37,76.0,56.0,76.0,57,93.73,31,ep? s3700
1788337182,16:19:42,63.0,60.0,58.0,57,93.94,30,ep? s3700
1788337187,16:19:47,78.0,72.0,78.0,57,93.66,31,ep? s3700
1788337192,16:19:52,63.0,58.0,61.0,57,92.23,31,ep? s3700
1788337197,16:19:57,69.0,58.0,58.0,57,94.11,31,ep? s3700
1788337202,16:20:02,67.0,67.0,61.0,57,94.12,30,ep? s3750
1788337207,16:20:07,68.0,56.0,57.0,57,94.13,31,ep? s3750
1788337212,16:20:12,62.0,54.0,57.0,57,93.58,28,ep? s3750
1788337217,16:20:17,75.0,54.0,65.0,57,93.76,31,ep? s3750
1788337222,16:20:22,63.0,58.0,59.0,57,95.69,28,ep? s3750
1788337227,16:20:27,70.0,68.0,61.0,58,95.27,25,ep? s3750
1788337232,16:20:32,69.0,56.0,58.0,58,92.75,33,ep? s3750
1788337237,16:20:37,77.0,55.0,65.0,57,92.52,25,ep? s3750
1788337242,16:20:42,71.0,58.0,58.0,57,92.83,33,ep? s3750
1788337247,16:20:47,76.0,58.0,61.0,57,92.57,36,ep? s3750
1788337252,16:20:52,75.0,56.0,62.0,57,92.70,33,ep? s3800
1788337258,16:20:58,75.0,59.0,59.0,57,92.99,35,ep? s3800
1788337263,16:21:03,69.0,59.0,58.0,57,96.43,30,ep? s3800
1788337268,16:21:08,75.0,58.0,65.0,57,96.22,34,ep? s3800
1788337273,16:21:13,67.0,59.0,61.0,57,87.93,27,ep? s3800
1788337278,16:21:18,76.0,59.0,76.0,57,93.88,30,ep? s3800
1788337283,16:21:23,65.0,60.0,61.0,57,93.61,30,ep? s3800
1788337288,16:21:28,76.0,59.0,76.0,57,93.81,30,ep? s3800
1788337293,16:21:33,65.0,58.0,61.0,57,93.94,30,ep? s3800
1788337298,16:21:38,72.0,55.0,72.0,57,92.60,29,ep? s3800
1788337304,16:21:44,69.0,56.0,63.0,57,93.02,34,ep? s3850
1788337309,16:21:49,73.0,58.0,59.0,57,96.14,29,ep? s3850
1788337314,16:21:54,69.0,59.0,59.0,57,96.26,35,ep? s3850
1788337319,16:21:59,78.0,58.0,65.0,58,93.81,29,ep? s3850
1788337324,16:22:04,64.0,59.0,63.0,57,93.78,30,ep? s3850
1788337329,16:22:09,82.0,58.0,65.0,57,93.73,29,ep? s3850
1788337334,16:22:14,64.0,63.0,59.0,57,88.42,27,ep? s3850
1788337339,16:22:19,64.0,61.0,59.0,57,93.82,30,ep? s3850
1788337344,16:22:24,67.0,58.0,59.0,57,92.54,30,ep? s3850
1788337349,16:22:29,64.0,59.0,66.0,57,93.86,30,ep? s3850
1788337354,16:22:34,72.0,58.0,59.0,57,92.25,30,ep? s3900
1788337359,16:22:39,65.0,63.0,59.0,57,94.01,30,ep? s3900
1788337364,16:22:44,65.0,58.0,63.0,57,94.74,31,ep? s3900
1788337369,16:22:49,64.0,57.0,66.0,57,94.04,30,ep? s3900
1788337374,16:22:54,65.0,60.0,59.0,57,94.04,31,ep? s3900
1788337379,16:22:59,65.0,60.0,61.0,57,93.80,27,ep? s3900
1788337384,16:23:04,67.0,59.0,67.0,57,95.32,25,ep? s3900
1788337389,16:23:09,69.0,59.0,61.0,58,95.37,27,ep? s3900
1788337394,16:23:14,66.0,61.0,59.0,58,93.42,25,ep? s3900
1788337399,16:23:19,73.0,59.0,61.0,57,93.36,34,ep? s3900
1788337405,16:23:25,72.0,58.0,62.0,57,93.22,25,ep? s3950
1788337410,16:23:30,71.0,59.0,61.0,57,93.06,34,ep? s3950
1788337415,16:23:35,70.0,58.0,62.0,57,93.26,35,ep? s3950
1788337420,16:23:40,69.0,58.0,59.0,58,92.43,29,ep? s3950
1788337425,16:23:45,67.0,59.0,67.0,58,96.35,35,ep? s3950
1788337430,16:23:50,63.0,58.0,58.0,57,92.63,30,ep? s3950
1788337435,16:23:55,63.0,56.0,57.0,57,93.95,30,ep? s3950
1788337440,16:24:00,66.0,60.0,59.0,57,92.80,29,ep? s3950
1788337445,16:24:05,64.0,58.0,58.0,57,93.87,30,ep? s3950
1788337450,16:24:10,64.0,58.0,61.0,57,93.85,30,ep? s3950
1788337455,16:24:15,80.0,61.0,59.0,57,93.83,30,ep? s50
1788337460,16:24:20,65.0,62.0,65.0,57,93.32,30,ep? s50
1788337465,16:24:25,64.0,58.0,62.0,58,93.93,30,ep? s50
1788337470,16:24:30,62.0,60.0,58.0,57,93.78,30,ep? s50
1788337475,16:24:35,64.0,59.0,61.0,58,93.99,29,ep? s50
1788337480,16:24:40,66.0,60.0,59.0,58,93.76,30,ep? s50
1788337485,16:24:45,63.0,59.0,59.0,58,93.55,29,ep? s50
1788337490,16:24:50,64.0,58.0,61.0,58,93.59,27,ep? s50
1788337496,16:24:56,66.0,59.0,61.0,58,93.79,32,ep? s50
1788337501,16:25:01,64.0,60.0,58.0,58,95.79,27,ep? s50
1788337506,16:25:06,65.0,59.0,59.0,58,94.02,32,ep? s50
1788337511,16:25:11,66.0,58.0,57.0,58,92.75,34,ep? s50
1788337516,16:25:16,69.0,60.0,57.0,58,93.27,25,ep? s50
1788337521,16:25:21,70.0,61.0,57.0,58,93.57,34,ep? s50
1788337526,16:25:26,70.0,61.0,61.0,59,110.53,33,ep? s50
1788337531,16:25:31,64.0,59.0,59.0,58,94.60,31,ep? s50
1788337536,16:25:36,64.0,58.0,59.0,58,95.71,34,ep? s50
1788337541,16:25:41,64.0,60.0,59.0,58,94.15,30,ep? s50
1788337546,16:25:46,64.0,60.0,58.0,58,94.10,30,ep? s50
1788337551,16:25:51,67.0,60.0,67.0,58,93.73,29,ep? s50
1788337556,16:25:56,66.0,58.0,61.0,58,94.26,30,ep? s50
1788337561,16:26:01,64.0,56.0,62.0,58,93.03,30,ep? s50
1788337566,16:26:06,66.0,59.0,61.0,58,94.59,30,ep? s50
1788337571,16:26:11,66.0,58.0,61.0,58,94.18,30,ep? s50
1788337576,16:26:16,66.0,62.0,62.0,59,94.57,30,ep? s50
1788337581,16:26:21,63.0,60.0,61.0,58,94.55,31,ep? s50
1788337586,16:26:26,64.0,60.0,62.0,58,94.01,29,ep? s50
1788337592,16:26:32,67.0,60.0,62.0,58,93.15,31,ep? s50
1788337597,16:26:37,64.0,60.0,58.0,59,95.55,28,ep? s50
1788337602,16:26:42,76.0,59.0,69.0,58,93.57,30,ep? s50
1788337607,16:26:47,64.0,58.0,61.0,59,94.62,30,ep? s50
1788337612,16:26:52,66.0,60.0,61.0,59,93.18,30,ep? s50
1788337617,16:26:57,64.0,58.0,61.0,59,94.76,30,ep? s50
1788337622,16:27:02,66.0,62.0,62.0,59,95.09,30,ep? s50
